name	num_entries	address	snes_address	bytes	snes_bytes	rpge_ptr_offset	snes_ptr_offset	dialog	null_terminated
ability_names	33	0x116200		8					
battle_commands	96	0x201150	0x115800	7	5				
character_names	5	0x115500		6					
dialogue	0x900	0x2013F0	0x082220	3	2	0x000000	0x0A0000	True	
enemy_names	384	0x200050	0x105C00	10	8				
items	0x100	0x111380		9					
item_long_names	0x120	0x275860	0x111380	24	9				
item_descriptions	128	0x114000		2		0x110000	0x110000	True	True
job_names	22	0x115600		8					
job_and_ability_descs	133	0x117140		2		0x110000	0x110000		True
magics	87	0x111C80		6					
magics2	73	0x111E8A		9					
menu_strings	139	0x00F987		2		0x270000	0x000000		True
zone_names	164	0x107000		2		0x270000	0x107200	True	
